Belgium,BEL,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.403165147,0.485698867,0.421026714,0.567188165,0.448331618,0.231309552,0.477927841,0.44106885,0.45082362,0.52362924,0.761223552,0.666293169,0.647785768,0.653753027,0.5101406,0.595269086,0.688305229,0.556235571,0.456061127,0.378421442,0.321692468,0.477524156,0.362504995,0.484994603,0.459763861,0.318081397,0.391723713,0.473956747,0.409039656,0.555736774,0.560940243,0.444779402,0.295592441,0.375801691,0.336020721,0.425617679,0.444429211,0.490530371,0.365231722,0.332505622,0.220190082,0.437387437,0.462489655,0.408380185,0.457238166,0.425617679,0.444429211,0.490530371,0.365231722,0.332505622,0.220190082,0.437387437,0.462489655,0.408380185,59.99708563
,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,2.53164557,2.777777778,2.380952381,3.03030303,3.174603175,2.5,1.234567901,0.934579439,0,0,0,0,0,0,0,0,0,4.093567251,0,0,0,0,0,0,0,0,0,
Bangladesh,BGD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.99029126,16.99029126,23.57549858,15.68754035,26.79778734,27.92538157,22.59565667,22.80306444,24.43796836,24.77688058,23.47858753,17.22661397,19.28342558,22.6172466,16.32067138,9.375,9.253624485,10.31952301,12.93042867,11.43300569,10.13301088,8.949853834,6.604388442,8.656991006,3.442531927,6.440648423,6.063417102,6.714795839,5.764705882,4.749223258,5.709521619,4.012858291,3.799715909,3.034477171,2.832079253,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.682981928,1.052914316,0.959143211,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.682981928,1.052914316,0.457238166
Bulgaria,BGR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.32546631,9.40685196,11.70522864,9.12040691,9.719855767,10.64619599,11.8781555,9.237266607,10.22923875,10.65882015,9.785783836,7.538495761,7.857343838,7.297636103,5.370868563,5.56193209,5.838106411,5.766197996,6.070655116,4.456467573,5.973765357,5.793316484,5.11092981,3.849684001,5.537342363,6.83350501,6.461603435,7.465708845,7.241116284,6.57629287,3.989984839,5.202874149,7.156019656,7.647371216,9.863094697,9.313876313,6.693527727,6.334110892,8.18763125,10.98941695,5.831317594,6.92586788,9.473170958,9.813113986,11.61421361,9.313876313,6.693527727,6.334110892,8.18763125,10.98941695,5.831317594,6.92586788,9.473170958,9.813113986,4.093567251
Bahrain,BHR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bahamas, The",BHS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959143211
Bosnia and Herzegovina,BIH,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,20.89939858,37.27239753,52.22988506,71.14517583,81.50329877,82.77664167,70.24523161,53.10895608,50.20381183,54.48099271,48.84456803,48.70276368,48.84561892,39.95206817,46.97517285,47.59561974,44.00781426,33.95281738,32.83410915,39.82001532,46.86989021,28.71073298,29.93182787,41.46467251,36.72648515,35.51730757,44.00781426,33.95281738,32.83410915,39.82001532,46.86989021,28.71073298,29.93182787,41.46467251,36.72648515,11.61421361
Belarus,BLR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,0.050599605,0.046469601,0.045218779,0.056939075,0.060515336,0.080263264,0.067430883,0.080592547,0.119189511,0.07165485,0.103444312,0.11969836,0.109615966,0.10515642,0.105735341,0.116275314,0.110024834,0.109962613,0.111275964,0.144851198,0.128958303,0.130434783,0.227280106,0.437997905,0.348351807,0.313948712,0.110024834,0.109962613,0.111275964,0.144851198,0.128958303,0.130434783,0.227280106,0.437997905,0.348351807,0
Belize,BLZ,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.51730757
Bolivia,BOL,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,86.34615385,83.75992939,83.0059778,81.22545169,79.73273942,78.41225627,74.77987421,73.15514236,70.58177827,65.65781347,64.1509434,67.35294118,65.05406944,64.5232816,64.3018018,60.609358,57.7257889,59.73292244,55.67748092,51.06014712,57.24956063,52.44610282,56.65786496,46.60056657,41.83504472,44.00864731,45.07488479,41.94070081,46.01906725,50.12886598,53.49246231,52.65296367,45.86795937,47.5127128,40.11437908,40.73584906,40.44297175,39.71119134,37.51021075,32.19713738,32.50692521,30.70095288,31.43211407,25.71102227,28.88133208,40.73584906,40.44297175,39.71119134,37.51021075,32.19713738,32.50692521,30.70095288,31.43211407,25.71102227,0.313948712
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,83.75470162,88.67135559,89.43855638,91.60378806,91.57788053,92.09178857,92.54346018,91.1442486,91.95891902,92.48600947,91.96691681,92.7956657,93.21882654,92.86638051,92.09683915,90.249248,91.279736,92.6242283,92.4012405,92.76863491,92.91952709,92.39281518,93.28864654,93.33335897,92.1277499,91.242387,90.58061835,90.58921889,87.53689695,87.24398842,81.54321965,82.76424693,83.88231839,82.79636498,83.72937204,83.18011528,84.0205595,79.80616196,83.88122397,78.19542603,80.55051461,75.15815455,68.46344573,63.22498396,61.8484936,83.18011528,84.0205595,79.80616196,83.88122397,78.19542603,80.55051461,75.15815455,68.46344573,63.22498396,
Brunei Darussalam,BRN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88133208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8484936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
